DATA_ZESTAWIENIA;TYP_SUBSKRYBENTA;TYP_KREDYTU;LICZBA_KREDYTOW;KWOTA_KREDYTOW;KWOTA_DO_SPLATY;LICZBA_KREDYTOW_DEF01;LICZBA_KREDYTOW_DEF30;LICZBA_KREDYTOW_DEF90;KWOTA_DO_SPLATY_DEF01;KWOTA_DO_SPLATY_DEF30;KWOTA_DO_SPLATY_DEF90;LICZBA_KLIENTOW;LICZBA_KLIENTOW_DEF2
2017-08-31 00:00:00;;Karty kredytowe;6457340,99999999999999999999999999999999;;13385426684;;344724,999999999999999999999999999999999;284443;;1239942093;1079823181;;
2017-08-31 00:00:00;;Limity;6136760,99999999999999999999999999999903;;10369141283,4033999999999999999999999998;;266424;241478;;1145861094,9786;1067725565,9786;;
2017-08-31 00:00:00;;Mieszkaniowe;2304386,99999999999999999999999999999225;;405486400591,528455999999999999999999994;;45881,9999999999999999999999999999999996;33042,9999999999999999999999999999999998;;15736776258,71486;12464555604,348848;;
2017-08-31 00:00:00;;Po¿yczki pozabankowe;815888;;1913439618;;265055;188294;;674157584;469311328;;
2017-08-31 00:00:00;;Ratalne;4609586,99999999999999999999999999999974;;16697929854,26295;;334802,999999999999999999999999999999999;288595;;2472665769,998;2286758684,4364;;
2017-09-30 00:00:00;;Gotówkowe;7727704,999999999999999999999999999999;;132479956391,848887;;1053983,99999999999999999999999999999993;934902,999999999999999999999999999999936;;21291378362,904519;18798485565,464719;;
2017-09-30 00:00:00;;Karty kredytowe;6455680,99999999999999999999999999999999;;13432615870;;347781,999999999999999999999999999999999;288920;;1257211806;1102085674;;
2017-09-30 00:00:00;;Limity;6138913,99999999999999999999999999999904;;10330562346,8214999999999999999999999998;;261755;242347;;1145379471,483;1078443065,483;;
2017-09-30 00:00:00;;Mieszkaniowe;2310971,99999999999999999999999999999219;;408236718887,346078000000000000000000009;;45073,9999999999999999999999999999999997;32684,9999999999999999999999999999999998;;15445341058,125047;12314967302,496898;;
2017-09-30 00:00:00;;Po¿yczki pozabankowe;848040;;2048923326;;273065;196114;;712954346;500228349;;
2017-09-30 00:00:00;;Ratalne;4628387,99999999999999999999999999999974;;16794397067,447708;;334153;288251;;2402234027,2361;2238938988,3722;;
2017-10-31 00:00:00;;Gotówkowe;7756686,99999999999999999999999999999899;;133439402030,061808;;1060420,99999999999999999999999999999993;938663,999999999999999999999999999999936;;21488354844,0981;18917066809,3753;;
2017-10-31 00:00:00;;Karty kredytowe;6444082,99999999999999999999999999999999;;13472215663;;362481,999999999999999999999999999999998;299288;;1273574064;1108170186;;
2017-10-31 00:00:00;;Limity;6133616,99999999999999999999999999999904;;10488228112,0261;;268084;242158;;1161749296,6233;1083427438,6233;;
2017-10-31 00:00:00;;Mieszkaniowe;2317924,99999999999999999999999999999225;;406056913586,644842;;44610,9999999999999999999999999999999997;32350,9999999999999999999999999999999998;;15125728353,525962;12142603362,491032;;
2017-10-31 00:00:00;;Po¿yczki pozabankowe;828916;;2194500299;;278765;199876;;753483016;523607970;;
2017-10-31 00:00:00;;Ratalne;4606452,99999999999999999999999999999975;;16801714388,993172;;345946,999999999999999999999999999999997;289859;;2402724309,886;2232889896,1435;;
2017-11-30 00:00:00;;Gotówkowe;7769734,99999999999999999999999999999898;;134008881294,852475;;1048949,99999999999999999999999999999993;930103,999999999999999999999999999999936;;21219453463,0314;18734714871,4673;;
2017-11-30 00:00:00;;Karty kredytowe;6443233,99999999999999999999999999999999;;13520798149;;342142,999999999999999999999999999999999;284023;;1225739142;1069362226;;
2017-11-30 00:00:00;;Limity;6125969,99999999999999999999999999999904;;10415290752,0345999999999999999999999998;;265433;241873;;1158896922,4569;1088521020,4569;;
2017-11-30 00:00:00;;Mieszkaniowe;2323330,99999999999999999999999999999225;;405096660628,722340999999999999999999994;;43879,9999999999999999999999999999999996;32300,9999999999999999999999999999999997;;14951832775,603343;12118432665,456708;;
2017-11-30 00:00:00;;Po¿yczki pozabankowe;846277;;2637068633;;295610;209979;;843275364;572125094;;
2017-11-30 00:00:00;;Ratalne;4676464,99999999999999999999999999999974;;16889854673,413616;;346200,999999999999999999999999999999999;293885;;2327414151,5517;2173675347,1642;;
2017-12-31 00:00:00;;Gotówkowe;7729693,99999999999999999999999999999901;;133545643948,777758;;999435,999999999999999999999999999999927;879261,99999999999999999999999999999994;;20284889817,6289;17748571218,7953;;
2017-12-31 00:00:00;;Karty kredytowe;6424889,99999999999999999999999999999999;;13554587343;;357196,999999999999999999999999999999999;286575;;1263867651;1089684356;;
2017-12-31 00:00:00;;Limity;6067482,99999999999999999999999999999904;;10185983580,0507999999999999999999999998;;224724;200490;;1083737333,314;1009362602,314;;
2017-12-31 00:00:00;;Mieszkaniowe;2325853,99999999999999999999999999999227;;404613358799,516686000000000000000000003;;42840,9999999999999999999999999999999997;31524,9999999999999999999999999999999997;;14547264192,080382;11760948745,953478;;
2017-12-31 00:00:00;;Po¿yczki pozabankowe;849495;;2760352806;;278235;189358;;859013267;570561357;;
2017-12-31 00:00:00;;Ratalne;4820545,99999999999999999999999999999976;;17316947108,532966;;341499,999999999999999999999999999999999;286361;;2261194111,867;2079564716,373;;
2018-01-31 00:00:00;;Gotówkowe;7766294,99999999999999999999999999999901;;134501114512,283816;;1018206,99999999999999999999999999999992;896935,999999999999999999999999999999936;;20708445017,8988;18180257046,9074;;
2018-01-31 00:00:00;;Karty kredytowe;6408628,99999999999999999999999999999999;;13508012117;;367416,999999999999999999999999999999999;293192;;1294821798;1117630329;;
2018-01-31 00:00:00;;Limity;6057467,99999999999999999999999999999904;;10349736209,0427999999999999999999999998;;227511;203134;;1095926726,2164;1022778179,2164;;
2018-01-31 00:00:00;;Mieszkaniowe;2332082,99999999999999999999999999999224;;405065283145,424208000000000000000000002;;43421,9999999999999999999999999999999996;31658,9999999999999999999999999999999997;;14697984307,476232;11817366376,98464;;
2018-01-31 00:00:00;;Po¿yczki pozabankowe;885677;;2957284794;;288965;198000;;915282281;615733686;;
2018-01-31 00:00:00;;Ratalne;4813352,99999999999999999999999999999974;;17365206336,223404;;344748,999999999999999999999999999999999;291431;;2265282540,1419;2088099482,0499;;
2018-02-28 00:00:00;;Gotówkowe;7767636,99999999999999999999999999999902;;135510216669,921098;;1011325,99999999999999999999999999999992;894750,999999999999999999999999999999938;;20849350396,6352;18395076734,2229;;
2018-02-28 00:00:00;;Karty kredytowe;6382631,99999999999999999999999999999999;;13427095595;;370115,999999999999999999999999999999999;296745;;1287203395;1125092014;;
2018-02-28 00:00:00;;Limity;6051311,99999999999999999999999999999904;;10047181027,6236999999999999999999999998;;224200;203028;;1088372748,7552;1019591514,7552;;
2018-02-28 00:00:00;;Mieszkaniowe;2342230,99999999999999999999999999999226;;408069029264,258455999999999999999999991;;43257,9999999999999999999999999999999997;31561,9999999999999999999999999999999997;;14813764149,764544;11917502498,937066;;
