WOJEWODZTWO;NUTS3;NUTS3_OPIS;LUDNOSC;STATYSTYKA;KLIENCI;KLIENCI_DEF2;SALDO
Zachodniopomorskie;PL42;Zachodniopomorskie;1407493;Mieszkaniowe;203088;2839;24513011043,7570044444444444444444444445
Zachodniopomorskie;PL42;Zachodniopomorskie;1407493;Bank;696806;55374;34794415322,8413044444444444444444444445
Zachodniopomorskie;PL42;Zachodniopomorskie;1407493;Ogó³em;708113;64498;35032580256,4947044444444444444444444445
Zachodniopomorskie;PL42;Zachodniopomorskie;1407493;Limity;308997;10547;437789739,933333333333333333333333333335
;;;;Limity;50358;4929;18094929,8738095238095238095238095238096
;;;;Mieszkaniowe;9775;285;1148647660,42723178571428571428571428572
;;;;Karty;13515;483;19606563,85
;;;;Ogó³em;94622;7308;1581827267,06961280303030303030303030303
;;;;Gotówkowe;15985;991;308642188,997474826839826839826839826841
;;;;Bank;92646;7013;1576410662,06961280303030303030303030303
;;;;Ratalne;16071;598;81047018,9210966666666666666666666666667
;;;;Po¿yczki pozabankowe;2307;327;5416605
