DATA_UMOWY;TYP_SUBSKRYBENTA;TYP_KREDYTU;LICZBA_KREDYTOW;KWOTA_KREDYTOW
2019-06-01 00:00:00;;Gotówkowe;338953;6264400178
2019-06-01 00:00:00;;Karty kredytowe;104254;575287586
2019-06-01 00:00:00;;Limity;54311;267527018
2019-06-01 00:00:00;;Mieszkaniowe;19592;5388466921,5471
2019-06-01 00:00:00;;Po¿yczki pozabankowe;228644;594130965
2019-06-01 00:00:00;;Ratalne;255872;1070670690
2019-07-01 00:00:00;;Gotówkowe;378520;6952311544,06
2019-07-01 00:00:00;;Karty kredytowe;108062;635807905
2019-07-01 00:00:00;;Limity;64256;329379682
2019-07-01 00:00:00;;Mieszkaniowe;22280;6122724280,1552
2019-07-01 00:00:00;;Po¿yczki pozabankowe;258225;669965755
2019-07-01 00:00:00;;Ratalne;292548;1254177210
2019-08-01 00:00:00;;Gotówkowe;331641;6097720319
2019-08-01 00:00:00;;Karty kredytowe;95064;551602712
2019-08-01 00:00:00;;Limity;56141;277126687
2019-08-01 00:00:00;;Mieszkaniowe;20369;5628998265,3123
2019-08-01 00:00:00;;Po¿yczki pozabankowe;232893;594186876
2019-08-01 00:00:00;;Ratalne;304514;1263815937
2019-09-01 00:00:00;;Gotówkowe;322934;6113293470,45
2019-09-01 00:00:00;;Karty kredytowe;124281;1135533275
2019-09-01 00:00:00;;Limity;53643;279759830
2019-09-01 00:00:00;;Mieszkaniowe;20557;5754667916,0829
2019-09-01 00:00:00;;Po¿yczki pozabankowe;221630;549644669
2019-09-01 00:00:00;;Ratalne;279574;1119512804
2019-10-01 00:00:00;;Gotówkowe;328793;6153965036
2019-10-01 00:00:00;;Karty kredytowe;98675;584131115
2019-10-01 00:00:00;;Limity;55470;300510490
2019-10-01 00:00:00;;Mieszkaniowe;21741;6042978710,7242
2019-10-01 00:00:00;;Po¿yczki pozabankowe;234701;578257716
2019-10-01 00:00:00;;Ratalne;297464;1263164717
2019-11-01 00:00:00;;Gotówkowe;301360;5458658654
2019-11-01 00:00:00;;Karty kredytowe;101327;551398190
2019-11-01 00:00:00;;Limity;46891;259555767
2019-11-01 00:00:00;;Mieszkaniowe;18117;5097889244,4896
2019-11-01 00:00:00;;Po¿yczki pozabankowe;218065;550443714
2019-11-01 00:00:00;;Ratalne;373321;1481816061
2019-12-01 00:00:00;;Gotówkowe;297457;5215126571
2019-12-01 00:00:00;;Karty kredytowe;85443;501711737
2019-12-01 00:00:00;;Limity;43383;235834478
2019-12-01 00:00:00;;Mieszkaniowe;18341;5142080266,0613
2019-12-01 00:00:00;;Po¿yczki pozabankowe;230898;556417974
